PlayerName,AV
Ryan Mathews\MathRy00,9
Dave Rimington\RimiDa20,9
Mark Sanchez\SancMa00,9
Wendell Smallwood\SmalWe00,9
Ron Smith\SmitRo02,9
Matt Tobin\TobiMa00,9
Bernard Williams\WillBe21,9
Victor Bailey\BailVi00,8
Todd Bell\BellTo00,8
Mike Boryla\BoryMi00,8
Al Clark\ClarAl20,8
Byron Darby\DarbBy20,8
Mike Flores\FlorMi20,8
Louie Giammona\GiamLo00,8
Kurt Gouveia\GouvKu20,8
Tim Hauck\HaucTi20,8
Tom Hutton\HuttTo20,8
Cameron Johnston\JohnCa02,8
Dorsey Levens\LeveDo00,8
Steve Martin\MartSt21,8
Ollie Matson\MatsOl00,8
Mike McGlynn\McGlMi20,8
Jim McMahon\McMaJi00,8
Horst Muhlmann\MuhlHo20,8
Jerry Patton\PattJe20,8
Bob Pellegrini\PellBo20,8
Sam Rayburn\RaybSa20,8
Saverio Rocca\RoccSa20,8
Dominique Rodgers-Cromartie\RodgDo99,8
Adam Schreiber\SchrAd20,8
Alex Singleton\SingAl00,8
Danny Watkins\WatkDa00,8
Gary Anderson\andergar02,7
John Booty\BootJo20,7
Brandon Boykin\BoykBr00,7
Bubby Brister\BrisBu00,7
Lem Burnham\BurnLe21,7
Corey Clement\ClemCo00,7
Jack Concannon\ConcJa00,7
Ronnie Dixon\DixoRo20,7
Tom Ehlers\EhleTo20,7
Jeff Feagles\FeagJe20,7
Dean Halverson\HalvDe20,7
Ralph Heck\HeckRa20,7
Dwayne Jiles\JileDw20,7
Bill Johnson\JohnBi22,7
Dirk Johnson\JohnDi20,7
Dennis Kelly\KellDe00,7
Trevor Laws\LawsTr99,7
Guy McIntyre\McInGu00,7
Ron Medved\MedvRo20,7
Bubba Miller\MillBu20,7
Brian Mitchell\MitcBr00,7
Steve Preece\PreeSt20,7
Takeo Spikes\SpikTa00,7
Mitch Sutton\SuttMi23,7
John Teltschik\TeltJo20,7
Bobbie Williams\WillBo21,7
Don Zimmerman\ZimmDo00,7
Beau Allen\AlleBe00,6
Mark Bavaro\BavaMa00,6
Michael Bennett\BennMi99,6
LeGarrette Blount\BlouLe00,6
Bryce Brown\BrowBr02,6
Charles Dimry\DimrCh20,6
Antonio Dixon\DixoAn99,6
A.J. Feeley\FeelA.00,6
Antonio Freeman\FreeAn00,6
Rich Glover\GlovRi20,6
Najee Goode\GoodNa00,6
Corey Graham\GrahCo99,6
Javon Hargrave\HargJa00,6
Bob Harrison\HarrBo23,6
Alvin Haymond\HaymAl20,6
Vaughn Hebron\HebrVa00,6
Josh Huff\HuffJo00,6
Earnest Jackson\JackEa00,6
Alonzo Johnson\JohnAl25,6
Gene Johnson\JohnGe20,6
Kevin Johnson\JohnKe28,6
Ray Jones\JoneRa22,6
Rick Lovato\LovaRi00,6
Tom Luken\LukeTo21,6
Herb Lusk\LuskHe01,6
James McAlister\McAlJa00,6
Matt McCoy\McCoMa20,6
Leodis McKelvin\McKeLe99,6
Dennis McKnight\McKnDe20,6
DeMarco Murray\MurrDe00,6
John Niland\NilaJo00,6
Kevin Reilly\ReilKe20,6
Will Renfro\RenfWi20,6
Dallas Reynolds\ReynDa01,6
Brian Rolle\RollBr00,6
Jody Schulz\SchuJo21,6
Boston Scott\ScotBo02,6
Ernie Sims\SimsEr20,6
Donte' Stallworth\StalDo00,6
Josh Sweat\SweaJo00,6
Darryl Tapp\TappDa20,6
Junior Tautalatasi\TautJu00,6
Walter Thurmond\ThurWa99,6
Greg Townsend\TownGr00,6
Arunas Vasys\VasyAr20,6
Victor Abiamiri\AbiaVi99,5
Jay Ajayi\AjayJa00,5
Colt Anderson\AndeCo01,5
Harvey Armstrong\ArmsHa20,5
Darnell Autry\AutrDa00,5
Blaine Bishop\BishBl00,5
Fred Brown\BrowFr21,5
Trey Burton\BurtTr01,5
Lee Roy Caffey\CaffLe00,5
Jeff Dellenbach\DellJe20,5
Jason Dunn\DunnJa00,5
Bobby Freeman\FreeBo20,5
Jeff Garcia\GarcJe00,5
Andrew Gardner\GardAn20,5
Ron Hallstrom\HallRo20,5
Jon Harris\HarrJo26,5
Clinton Hart\HartCl20,5
Nate Herbig\HerbNa01,5
Bill Hobbs\HobbBi20,5
Mike Horan\HoraMi20,5
Jerry Huth\HuthJe20,5
Kevin Kolb\KolbKe00,5
Derek Landri\LandDe99,5
Chris Long\LongCh99,5
Bill Lueck\LuecBi20,5
Cecil Martin\MartCe00,5
Byron Maxwell\MaxwBy00,5
Tom McNeill\McNeTo20,5
Dimitri Patterson\PattDi20,5
Joe Pisarcik\PisaJo00,5
Matt Pryor\PryoMa00,5
John Reaves\ReavJo00,5
Duke Riley\RileDu00,5
Joe Robb\RobbJo00,5
Patrick Robinson\RobiPa99,5
Ken Rose\RoseKe20,5
Darius Slay\SlayDa00,5
Freddie Solomon\SoloFr00,5
Thomas Strauthers\StraTh20,5
Caleb Sturgis\SturCa00,5
Greg Ward\WardGr02,5
Will Witherspoon\WithWi20,5
Tony Woodruff\WoodTo00,5
Henry Allison\AlliHe20,4
Glen Amerson\AmerGl20,4
Rick Arrington\ArriRi00,4
Tom Bailey\BailTo00,4
Tony Baker\BakeTo00,4
Na Brown\BrowNa00,4
Don Brumm\BrumDo00,4
Jim Cagle\CaglJi20,4
Gene Ceppetelli\CeppGe20,4
Patrick Chung\ChunPa99,4
Don Chuy\ChuyDo20,4
Chris Clemons\ClemCh23,4
Wayne Colman\ColmWa20,4
Claude Crabb\CrabCl20,4
Jerry Crafts\CrafJe20,4
Bob Creech\CreeBo20,4
Koy Detmer\DetmKo00,4
